label,unix_ts,date_token,location,timestamp_text,location_dup,facility,component,level,message,timestamp,is_anomaly,message_length,message_token_count,hour,dayofweek,has_digit,has_hex_like,has_cache_word,has_memory_word,has_network_word,level_code,facility_code,component_code,message_template,template_id,template_frequency
-,1119695642,2005.06.25,R30-M0-N7-C:J11-U01,2005-06-25-03.34.02.918500,R30-M0-N7-C:J11-U01,RAS,KERNEL,INFO,257923536 double-hummer alignment exceptions,2005-06-25 03:34:02.918500,0,44,4,3,5,1,1,0,0,0,0,0,0,<num> double-hummer alignment exceptions,0,18582
-,1120929206,2005.07.09,R12-M1-N6-C:J13-U01,2005-07-09-10.13.26.900784,R12-M1-N6-C:J13-U01,RAS,KERNEL,INFO,generating core.8437,2005-07-09 10:13:26.900784,0,20,2,10,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1127243365,2005.09.20,NULL,2005-09-20-12.09.25.304629,NULL,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",2005-09-20 12:09:25.304629,0,171,13,12,1,1,0,0,0,1,1,0,1,"idoproxydb hit assert condition: assert expression=<num> source file=idotransportmgr.cpp source line=<num> function=int idotransportmgr::sendpacket(idoudpmgr*, bglctlpavtrace*)",2,5317
-,1133011729,2005.11.26,R22-M0-N4-I:J18-U01,2005-11-26-05.28.49.225106,R22-M0-N4-I:J18-U01,RAS,KERNEL,INFO,"ciod: Received signal 15, code=0, errno=0, address=0x000001f5",2005-11-26 05:28:49.225106,0,61,7,5,5,1,1,0,0,0,0,0,0,"ciod: received signal <num>, code=<num>, errno=<num>, address=<hex>",3,2543
-,1120172389,2005.06.30,R03-M0-NB-C:J10-U11,2005-06-30-15.59.49.329370,R03-M0-NB-C:J10-U11,RAS,KERNEL,INFO,"41 ddr errors(s) detected and corrected on rank 0, symbol 12, bit 7",2005-06-30 15:59:49.329370,0,67,13,15,3,1,0,0,0,0,0,0,0,"<num> ddr errors(s) detected and corrected on rank <num>, symbol <num>, bit <num>",4,2114
-,1118964869,2005.06.16,R02-M1-N0-C:J12-U11,2005-06-16-16.34.29.720200,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,2005-06-16 16:34:29.720200,0,40,5,16,3,0,0,1,1,0,0,0,0,instruction cache parity error corrected,5,6738
-,1121311870,2005.07.13,R23-M1-N7-C:J05-U11,2005-07-13-20.31.10.168760,R23-M1-N7-C:J05-U11,RAS,KERNEL,INFO,generating core.4603,2005-07-13 20:31:10.168760,0,20,2,20,2,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1131067396,2005.11.03,R34-M0-N6-C:J09-U11,2005-11-03-17.23.16.094939,R34-M0-N6-C:J09-U11,RAS,KERNEL,INFO,62500 floating point alignment exceptions,2005-11-03 17:23:16.094939,0,41,5,17,3,1,0,0,0,0,0,0,0,<num> floating point alignment exceptions,6,16907
-,1122430765,2005.07.26,R31-M1-NF-C:J16-U11,2005-07-26-19.19.25.740920,R31-M1-NF-C:J16-U11,RAS,KERNEL,INFO,generating core.16432,2005-07-26 19:19:25.740920,0,21,2,19,1,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1120923670,2005.07.09,R25-M1-N0-C:J05-U11,2005-07-09-08.41.10.316308,R25-M1-N0-C:J05-U11,RAS,KERNEL,INFO,generating core.7423,2005-07-09 08:41:10.316308,0,20,2,8,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1120217027,2005.07.01,R15-M0-ND-C:J16-U11,2005-07-01-04.23.47.573217,R15-M0-ND-C:J16-U11,RAS,KERNEL,INFO,generating core.4680,2005-07-01 04:23:47.573217,0,20,2,4,4,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1119715879,2005.06.25,R11-M0-N2-C:J09-U01,2005-06-25-09.11.19.299365,R11-M0-N2-C:J09-U01,RAS,KERNEL,INFO,generating core.20686,2005-06-25 09:11:19.299365,0,21,2,9,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1120145551,2005.06.30,R15-M0-ND-C:J14-U11,2005-06-30-08.32.31.173630,R15-M0-ND-C:J14-U11,RAS,KERNEL,INFO,generating core.19752,2005-06-30 08:32:31.173630,0,21,2,8,3,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1117838572,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.52.345821,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,2005-06-03 15:42:52.345821,0,40,5,15,4,0,0,1,1,0,0,0,0,instruction cache parity error corrected,5,6738
-,1120934848,2005.07.09,R03-M0-NB-C:J09-U11,2005-07-09-11.47.28.598218,R03-M0-NB-C:J09-U11,RAS,KERNEL,INFO,generating core.45922,2005-07-09 11:47:28.598218,0,21,2,11,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1133448463,2005.12.01,R65-M0-NB-C:J03-U11,2005-12-01-06.47.43.593355,R65-M0-NB-C:J03-U11,RAS,KERNEL,INFO,"10730 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",2005-12-01 06:47:43.593355,0,164,24,6,3,1,0,0,0,0,0,0,0,"<num> total interrupts. <num> critical input interrupts. <num> microseconds total spent on critical input interrupts, <num> microseconds max time in a critical input interrupt.",7,8405
-,1121902833,2005.07.20,R37-M0-N4-C:J12-U11,2005-07-20-16.40.33.377903,R37-M0-N4-C:J12-U11,RAS,KERNEL,INFO,8 floating point alignment exceptions,2005-07-20 16:40:33.377903,0,37,5,16,2,1,0,0,0,0,0,0,0,<num> floating point alignment exceptions,6,16907
-,1120968509,2005.07.09,R32-M1-N2-C:J09-U11,2005-07-09-21.08.29.748879,R32-M1-N2-C:J09-U11,RAS,KERNEL,INFO,generating core.31222,2005-07-09 21:08:29.748879,0,21,2,21,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1121311125,2005.07.13,R25-M0-N7-C:J14-U01,2005-07-13-20.18.45.787644,R25-M0-N7-C:J14-U01,RAS,KERNEL,INFO,generating core.25288,2005-07-13 20:18:45.787644,0,21,2,20,2,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1118766081,2005.06.14,R14-M0-N0-C:J07-U01,2005-06-14-09.21.21.259926,R14-M0-N0-C:J07-U01,RAS,KERNEL,FATAL,instruction address: 0x00004ed8,2005-06-14 09:21:21.259926,0,31,3,9,1,1,1,0,0,0,2,0,0,instruction address: <hex>,8,3317
-,1120969559,2005.07.09,R21-M0-NA-C:J13-U11,2005-07-09-21.25.59.282355,R21-M0-NA-C:J13-U11,RAS,KERNEL,INFO,generating core.10301,2005-07-09 21:25:59.282355,0,21,2,21,5,1,0,0,0,0,0,0,0,generating core.<num>,1,107669
-,1128681989,2005.10.07,R10-M0-NE-C:J11-U01,2005-10-07-03.46.29.921622,R10-M0-NE-C:J11-U01,RAS,KERNEL,INFO,total of 3 ddr error(s) detected and corrected,2005-10-07 03:46:29.921622,0,46,8,3,4,1,0,0,0,0,0,0,0,total of <num> ddr error(s) detected and corrected,9,1823
-,1131653520,2005.11.10,R10-M1-N4-C:J10-U11,2005-11-10-12.12.00.345330,R10-M1-N4-C:J10-U11,RAS,KERNEL,INFO,"CE sym 18, at 0x1d257e00, mask 0x02",2005-11-10 12:12:00.345330,0,35,7,12,3,1,1,0,0,0,0,0,0,"ce sym <num>, at <hex>, mask <hex>",10,12705
-,1131067101,2005.11.03,R27-M0-ND-C:J14-U11,2005-11-03-17.18.21.388942,R27-M0-ND-C:J14-U11,RAS,KERNEL,INFO,62500 floating point alignment exceptions,2005-11-03 17:18:21.388942,0,41,5,17,3,1,0,0,0,0,0,0,0,<num> floating point alignment exceptions,6,16907
