raw_line,event_id,template_id,template_text,severity,message
460903 resourcemgmtdaeomon node-25 server subsys 1145552216 1 failed to configure resourcemgmt subsystem err = 10,460903,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
460919 resourcemgmtdaeomon node-25 server subsys 1145552221 1 failed to configure resourcemgmt subsystem err = 10,460919,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
460932 resourcemgmtdaeomon node-25 server subsys 1145552226 1 failed to configure resourcemgmt subsystem err = 10,460932,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
460949 resourcemgmtdaeomon node-25 server subsys 1145552232 1 failed to configure resourcemgmt subsystem err = 10,460949,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
460971 resourcemgmtdaeomon node-25 server subsys 1145552237 1 failed to configure resourcemgmt subsystem err = 10,460971,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462410 resourcemgmtdaeomon node-25 server subsys 1145552885 1 failed to configure resourcemgmt subsystem err = 10,462410,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462413 resourcemgmtdaeomon node-25 server subsys 1145552891 1 failed to configure resourcemgmt subsystem err = 10,462413,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462415 resourcemgmtdaeomon node-25 server subsys 1145552896 1 failed to configure resourcemgmt subsystem err = 10,462415,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462417 resourcemgmtdaeomon node-25 server subsys 1145552902 1 failed to configure resourcemgmt subsystem err = 10,462417,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462419 resourcemgmtdaeomon node-25 server subsys 1145552907 1 failed to configure resourcemgmt subsystem err = 10,462419,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462425 resourcemgmtdaeomon node-25 server subsys 1145552913 1 failed to configure resourcemgmt subsystem err = 10,462425,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463304 resourcemgmtdaeomon node-25 server subsys 1145553546 1 failed to configure resourcemgmt subsystem err = 10,463304,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463309 resourcemgmtdaeomon node-25 server subsys 1145553551 1 failed to configure resourcemgmt subsystem err = 10,463309,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463310 resourcemgmtdaeomon node-25 server subsys 1145553556 1 failed to configure resourcemgmt subsystem err = 10,463310,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463311 resourcemgmtdaeomon node-25 server subsys 1145553562 1 failed to configure resourcemgmt subsystem err = 10,463311,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463312 resourcemgmtdaeomon node-25 server subsys 1145553567 1 failed to configure resourcemgmt subsystem err = 10,463312,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463317 resourcemgmtdaeomon node-25 server subsys 1145553572 1 failed to configure resourcemgmt subsystem err = 10,463317,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463466 resourcemgmtdaeomon node-25 server subsys 1145554206 1 failed to configure resourcemgmt subsystem err = 10,463466,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463467 resourcemgmtdaeomon node-25 server subsys 1145554211 1 failed to configure resourcemgmt subsystem err = 10,463467,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463473 resourcemgmtdaeomon node-25 server subsys 1145554217 1 failed to configure resourcemgmt subsystem err = 10,463473,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463474 resourcemgmtdaeomon node-25 server subsys 1145554222 1 failed to configure resourcemgmt subsystem err = 10,463474,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463475 resourcemgmtdaeomon node-25 server subsys 1145554227 1 failed to configure resourcemgmt subsystem err = 10,463475,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463478 resourcemgmtdaeomon node-25 server subsys 1145554232 1 failed to configure resourcemgmt subsystem err = 10,463478,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463779 resourcemgmtdaeomon node-25 server subsys 1145554547 1 failed to configure resourcemgmt subsystem err = 10,463779,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463780 resourcemgmtdaeomon node-25 server subsys 1145554552 1 failed to configure resourcemgmt subsystem err = 10,463780,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463781 resourcemgmtdaeomon node-25 server subsys 1145554558 1 failed to configure resourcemgmt subsystem err = 10,463781,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463782 resourcemgmtdaeomon node-25 server subsys 1145554563 1 failed to configure resourcemgmt subsystem err = 10,463782,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
463785 resourcemgmtdaeomon node-25 server subsys 1145554568 1 failed to configure resourcemgmt subsystem err = 10,463785,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462450 resourcemgmtdaeomon node-31 server subsys 1145552927 1 failed to configure resourcemgmt subsystem err = 10,462450,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
462467 resourcemgmtdaeomon node-31 server subsys 1145552932 1 failed to configure resourcemgmt subsystem err = 10,462467,UNKNOWN,UNKNOWN,1.0,failed to configure resourcemgmt subsystem err = 10
